phylum,class,order,family,genus,species,common name,study sample sex,study sample size,body mass (kg),metabolic rate (W),mass-specific metabolic rate (W/kg),brain size (kg),brain size - method
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,Gray Treefrog Species Complex,,1,0.01315,,,4.23E-05,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,Boreal Chorus Frog,,3,1.00E-04,,,2.26E-06,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,Blanchard's Cricket Frog,,3,3.00E-04,,,4.43E-06,histological reconstruction
Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis,Platymantis vitiensis,Fiji Tree Frog,,1,3.00E-04,,,4.93E-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana sylvatica,Wood Frog,,3,0.00037,,,8.57E-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Northern Leopard Frog,,3,0.0011,,,2.04E-05,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,Green Frog,,3,0.00362,,,3.92E-05,histological reconstruction
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,African Clawed Frog,,1,0.03237,,,5.14E-05,histological reconstruction
Chordata,Amphibia,Anura,Rhionphrynidae,Rhinophrynus,Rhinophrynus dorsalis,Mexican Burrowing Toad,,1,0.01657,,,3.29E-05,histological reconstruction
Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,Tiger Bromeliad Spider,,5,,,,2.51E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,,5,,,,6.31E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,Ephebopus sp.,0,,3,,,,3.82E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus regius,Regal Jumping Spider,,3,,,,2.75E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,Silver-sided Sector Spider,,20,3.90E-05,,,1.22E-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,Silver-sided Sector Spider,,13,2.90E-05,,,1.36E-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena sp.,0,female,1,1.00E-07,,,4.04E-09,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmenopsis,Mysmenopsis tengellacompa,0,female,1,3.00E-07,,,1.88E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,0,female,1,8.00E-07,,,1.32E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,0,male,1,8.00E-07,,,1.20E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,0,female,1,3.00E-06,,,3.40E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,0,male,1,2.40E-06,,,5.51E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus sp.,0,male,1,2.70E-06,,,5.57E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala illicita,0,male,1,1.40E-05,,,,
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,0,female,1,6.00E-05,,,1.58E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,0,male,1,2.00E-05,,,1.34E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,Silver Garden Orbweaver,female,1,0.00025,,,3.45E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,female,1,0.002,,,6.63E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,male,1,1.12E-05,,,1.62E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,Giant House Spider Complex,,10,,,,1.38E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.45E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.20E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.43E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.30E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.95E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.44E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.11E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,3.50E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,4.01E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.53E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.88E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.91E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,3.76E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.79E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.91E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,4.38E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,4.33E-08,micro-CT
